provincia,provincia_poblacion,canton,canton_poblacion,total,acumuladas,lat,lng,mes
Guayas,4387434,Pedro Carbo,51802,19,366,-1.833333000000000,-80.23333300000000,10
Guayas,4387434,Playas,59628,23,324,-2.623330000000000,-80.38750000000000,10
Guayas,4387434,Salitre,65765,21,317,-1.829444000000000,-79.81555600000000,10
Guayas,4387434,Samborondón,102404,21,383,-2.183333000000000,-79.88333299999999,10
Guayas,4387434,San Jacinto De Yaguachi,78204,22,256,-2.120000000000000,-79.69000000000000,10
Guayas,4387434,Santa Lucía,45004,10,364,-1.713889000000000,-79.98500000000000,10
Guayas,4387434,Simón Bolivar,32224,6,91,-2.156667000000000,-79.88750000000000,10
Imbabura,476257,Antonio Ante,54311,12,148,0.3200000000000000,-78.20999999999999,10
Imbabura,476257,Cotacachi,44203,10,156,0.3000000000000000,-78.26666700000000,10
Imbabura,476257,Ibarra,221149,116,1335,0.3626780000000000,-78.13066700000000,10
Imbabura,476257,Otavalo,125785,43,509,0.2333330000000000,-78.26666700000000,10
Imbabura,476257,Pimampiro,13269,8,60,0.4000000000000000,-77.97000000000000,10
Imbabura,476257,San Miguel de Urcuquí,17540,9,45,0.5200000000000000,-78.20000000000000,10
Loja,521154,Calvas,29565,11,161,-4.320000000000000,-79.56000000000000,10
Loja,521154,Catamayo,35961,13,127,-3.980000000000000,-79.34999999999999,10
Loja,521154,Celica,16160,1,39,-4.102500000000000,-79.95444400000000,10
Loja,521154,Chaguarpamba,6620,5,41,-3.850000000000000,-79.65000000000001,10
Loja,521154,Espíndola,14209,8,53,-4.583056000000000,-79.42694400000001,10
Loja,521154,Gonzanamá,10953,0,56,-4.231389000000000,-79.43527800000000,10
Loja,521154,Loja,274112,114,1440,-3.983333000000001,-79.20000000000000,10
Loja,521154,Macará,20269,9,83,-4.383333000000000,-79.95000000000000,10
Loja,521154,Olmedo,4220,4,24,-3.934000000000000,-79.64800000000000,10
Loja,521154,Paltas,23471,9,121,-4.050000000000002,-79.65000000000001,10
Loja,521154,Pindal,10540,1,32,-4.116100000000000,-80.10760000000001,10
Loja,521154,Puyango,15925,8,68,-3.870000000000000,-80.09000000000000,10
Loja,521154,Quilanga,4197,1,14,-4.298000000000000,-79.39860000000000,10
Loja,521154,Saraguro,33506,12,125,-3.625300000000000,-79.24110000000000,10
Loja,521154,Sozoranga,7121,0,16,-4.327778000000000,-79.78972200000000,10
Loja,521154,Zapotillo,14325,5,46,-4.386360000000002,-80.24360000000000,10
Los Ríos,921763,Baba,43429,10,152,-1.784167000000000,-79.67666699999999,10
Los Ríos,921763,Babahoyo,175281,109,1206,-1.800000000000000,-79.53333300000000,10
Los Ríos,921763,Buena Fe,83654,12,241,-0.8985719999999999,-79.48891600000000,10
Los Ríos,921763,Mocache,43316,7,121,-1.183850000000000,-79.50552999999999,10
Los Ríos,921763,Montalvo,28720,6,94,-1.793800000000000,-79.28570000000001,10
Los Ríos,921763,Palenque,23638,4,62,-1.432800000000000,-79.74950000000000,10
Los Ríos,921763,Puebloviejo,44725,11,139,-1.550000000000000,-79.53388900000000,10
Los Ríos,921763,Quevedo,213842,104,1374,-1.033333000000000,-79.45000000000000,10
Los Ríos,921763,Quinsaloma,20428,5,56,-1.206200000000000,-79.31450000000000,10
Los Ríos,921763,Urdaneta,32618,12,139,-1.570556000000000,-79.47111099999999,10
Los Ríos,921763,Valencia,54637,6,100,-0.9525000000000000,-79.35310000000000,10
Los Ríos,921763,Ventanas,75146,22,299,-1.450000000000000,-79.47000000000000,10
Los Ríos,921763,Vinces,82329,24,378,-1.558333000000000,-79.75000000000000,10
Manabí,1562079,Bolívar,45493,11,188,-0.8419440000000000,-80.16194400000001,10
Manabí,1562079,Chone,131002,56,650,-0.6833330000000000,-80.09999999999999,10
Manabí,1562079,El Carmen,111344,36,376,-1.314700000000000,-80.01690000000001,10
Manabí,1562079,Flavio Alfaro,23822,8,124,-0.4054000000000000,-79.90580000000000,10
Manabí,1562079,Jama,26116,6,42,-0.2014000000000000,-80.26590000000000,10
Manabí,1562079,Jaramijó,28439,5,97,-0.9487300000000000,-80.63630000000001,10
Manabí,1562079,Jipijapa,74645,38,554,-1.333330000000000,-80.58329999999999,10
Manabí,1562079,Junín,18820,11,68,-0.9291600000000000,-80.20569000000000,10
Manabí,1562079,Manta,264281,188,2215,-0.9500220000000000,-80.71620000000000,10
Manabí,1562079,Montecristi,107785,20,399,-1.033330000000000,-80.65000000000001,10
Manabí,1562079,Olmedo,10194,8,50,-1.396111000000000,-80.20611100000001,10
Manabí,1562079,Paján,37093,20,225,-1.570000000000000,-80.42000000000000,10
Manabí,1562079,Pedernales,63441,15,192,0.07010000000000001,-80.05360000000000,10
Manabí,1562079,Pichincha,29599,10,74,-1.047300000000000,-79.81860000000000,10
Manabí,1562079,Portoviejo,321800,197,2391,-1.056181000000000,-80.45521700000000,10
Manabí,1562079,Puerto López,24688,9,130,-1.566667000000000,-80.81666700000000,10
Manabí,1562079,Rocafuerte,37312,18,178,-0.9200000000000000,-80.45999999999999,10
Manabí,1562079,San Vicente,24799,4,72,-0.5892999999999999,-80.40880000000000,10
Manabí,1562079,Santa Ana,48152,17,140,-1.206900000000000,-80.37090000000001,10
Manabí,1562079,Sucre,62443,21,329,-0.6000000000000000,-80.41666700000000,10
Manabí,1562079,Tosagua,42297,17,157,-0.7800000000000000,-80.26000000000001,10
Manabí,1562079,Veinticuatro de Mayo,28514,10,117,-1.278889000000000,-80.42000000000000,10
Morona Santiago,196535,Gualaquiza,19555,6,59,-3.380000000000000,-78.58000000000000,10
Morona Santiago,196535,Huamboya,12382,3,24,-1.785000000000000,-78.23194400000000,10
Morona Santiago,196535,Limón Indanza,10349,2,22,-2.966250000000000,-78.43052800000000,10
Morona Santiago,196535,Logroño,7643,2,17,-2.624800000000000,-78.18960000000000,10
Morona Santiago,196535,Morona,58281,16,218,-2.300000000000000,-78.11666700000001,10
Morona Santiago,196535,Pablo Sexto,2897,0,4,-1.803056000000000,-77.92111100000000,10
Morona Santiago,196535,Palora,7719,2,18,-1.700000000000000,-77.94000000000000,10
Morona Santiago,196535,San Juan Bosco,4985,1,1,-3.092300000000000,-78.51320000000000,10
Morona Santiago,196535,Santiago,11087,2,34,-3.429800000000000,-78.56560000000000,10
Morona Santiago,196535,Sucúa,23823,8,87,-2.460000000000000,-78.17000000000000,10
Morona Santiago,196535,Taisha,26773,6,45,-2.339950000000000,-77.45808000000000,10
Morona Santiago,196535,Tiwintza,11041,1,10,-2.917670000000000,-77.80170000000000,10
Napo,133705,Archidona,33068,12,105,-0.9166670000000000,-77.78333300000000,10
Napo,133705,Carlos Julio Arosemena Tola,4466,1,10,-1.166667000000000,-77.84999999999999,10
Napo,133705,El Chaco,10142,2,13,-0.3402780000000000,-77.80888899999999,10
Napo,133705,Quijos,6847,1,29,-0.4636110000000000,-77.89277800000001,10
Napo,133705,Tena,79182,21,305,-0.9890000000000000,-77.81590000000000,10
Orellana,161338,Aguarico,3629,1,10,-0.9211110000000000,-75.39916700000001,10
Orellana,161338,La Joya de los Sachas,39352,5,109,-0.3000000000000000,-76.84999999999999,10
Orellana,161338,Loreto,24579,4,79,-0.6904000000000000,-77.30830000000000,10
Orellana,161338,Orellana,93778,31,276,-0.4666670000000000,-76.96666700000000,10
Pastaza,114202,Arajuno,8128,1,12,-1.234370000000000,-77.68750000000000,10
Pastaza,114202,Mera,17547,2,27,-1.460000000000000,-78.09000000000000,10
Pastaza,114202,Pastaza,84377,25,306,-1.066667000000000,-78.00111099999999,10
Pastaza,114202,Santa Clara,4150,0,10,-1.267100000000000,-77.88820000000000,10
Pichincha,3228233,Cayambe,107660,24,320,0.04388900000000000,-78.15610000000000,10
Pichincha,3228233,Mejía,108167,29,363,-0.5101000000000000,-78.56980000000000,10
Pichincha,3228233,Pedro Moncayo,43281,9,76,0.04369700000000000,-78.34923999999999,10
Pichincha,3228233,Pedro Vicente Maldonado,17171,2,31,0.1666670000000000,-79,10
Pichincha,3228233,Puerto Quito,24911,5,65,0.1170000000000000,-79.26400000000000,10
Pichincha,3228233,Quito,2781641,1297,15367,-0.2186110000000000,-78.50972200000000,10
Pichincha,3228233,Rumiñahui,115433,37,470,-0.3345000000000000,-78.44750000000001,10
Pichincha,3228233,San Miguel de Los Bancos,29969,3,26,0.02300000000000000,-78.89200000000000,10
Santa Elena,401178,La Libertad,117767,32,563,-2.233333000000000,-80.90000000000001,10
Santa Elena,401178,Salinas,94590,21,450,-2.216667000000000,-80.95000000000000,10
Santa Elena,401178,Santa Elena,188821,78,1592,-2.226700000000000,-80.85830000000000,10
Sto. Domingo Tsáchilas,511151,La Concordia,52571,13,146,0.002300000000000000,-79.38460000000001,10
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,197,2580,-0.2541670000000000,-79.17194400000000,10
Sucumbíos,230503,Cascales,15882,5,26,-0.06750000000000000,-77.21694400000000,10
Sucumbíos,230503,Cuyabeno,7154,1,14,-0.1288890000000000,-76.41388900000000,10
Sucumbíos,230503,Gonzalo Pizarro,10007,2,30,0.04700000000000000,-77.32280000000000,10
Sucumbíos,230503,Lago Agrio,119594,44,570,0.08472200000000002,-76.88277800000000,10
Sucumbíos,230503,Putumayo,16106,3,19,0.1000000000000000,-75.84999999999999,10
Sucumbíos,230503,Shushufindi,57949,10,139,-0.1871000000000000,-76.64500000000000,10
Sucumbíos,230503,Sucumbíos,3811,2,9,0.4592000000000000,-77.52300000000000,10
Tungurahua,590600,Ambato,387309,231,2761,-1.241667000000000,-78.61972200000000,10
Tungurahua,590600,Baños,25043,10,93,-1.396389000000000,-78.42472200000000,10
Tungurahua,590600,Cevallos,9936,3,35,-1.350000000000000,-78.61666700000001,10
Tungurahua,590600,Mocha,7336,4,26,-1.416667000000000,-78.66666700000000,10
Tungurahua,590600,Patate,15825,5,54,-1.316667000000000,-78.51666700000000,10
Tungurahua,590600,Pelileo,66836,22,263,-1.327500000000000,-78.54083300000001,10
Tungurahua,590600,Píllaro,43371,14,190,-1.175833000000000,-78.55527800000000,10
Tungurahua,590600,Quero,20627,6,64,-1.379300000000000,-78.60700000000000,10
Tungurahua,590600,Tisaleo,14317,4,47,-1.350000000000000,-78.66666700000000,10
Zamora Chinchipe,120416,Centinela del Cóndor,8313,1,20,-3.894910000000000,-78.78140999999999,10
Zamora Chinchipe,120416,Chinchipe,10679,0,20,-4.862800000000000,-79.13280000000000,10
Zamora Chinchipe,120416,El Pangui,10945,1,28,-3.624900000000000,-78.58710000000001,10
Zamora Chinchipe,120416,Nangaritza,8014,1,12,-4.048333000000000,-78.68222200000000,10
Zamora Chinchipe,120416,Palanda,10144,5,21,-4.649800000000000,-79.13209999999999,10
Zamora Chinchipe,120416,Paquisha,5992,0,10,-3.932750000000000,-78.67426000000000,10
Zamora Chinchipe,120416,Yacuambi,7121,0,24,-3.634440000000000,-78.92810000000000,10
Zamora Chinchipe,120416,Yantzaza,26447,3,88,-3.850000000000000,-78.75000000000000,10
Zamora Chinchipe,120416,Zamora,32761,7,93,-4.120000000000000,-78.80000000000000,10
Azuay,881394,Camilo Ponce Enríquez,36423,2,61,-3.050000000000000,-79.73333300000000,11
Azuay,881394,Chordeleg,15176,6,65,-2.933333000000000,-78.76666700000000,11
Azuay,881394,Cuenca,636996,322,3622,-2.897414000000000,-79.00448100000000,11
Azuay,881394,El Pan,3091,1,18,-2.786111000000000,-78.66500000000001,11
Azuay,881394,Girón,13037,5,84,-3.159028000000000,-79.14756800000001,11
Azuay,881394,Guachapala,3859,2,15,-2.769000000000000,-78.70900000000000,11
Azuay,881394,Gualaceo,49104,13,257,-2.900000000000000,-78.78333300000000,11
Azuay,881394,Nabón,17292,4,73,-3.336060000000000,-79.06368000000001,11
Azuay,881394,Oña,4128,1,32,-3.469640000000000,-79.15431000000000,11
Azuay,881394,Paute,29214,12,115,-2.781800000000000,-78.76000000000001,11
Azuay,881394,Pucará,10584,5,34,-3.233780000000000,-79.46120000000001,11
Azuay,881394,San Fernando,4156,0,22,-3.144500000000000,-79.25200000000000,11
Azuay,881394,Santa Isabel,20935,5,92,-3.274170000000000,-79.31560000000000,11
Azuay,881394,Sevilla de Oro,6890,2,25,-2.799833000000000,-78.65569400000000,11
Azuay,881394,Sígsig,30509,10,150,-3.089700000000000,-78.80320000000000,11
Bolívar,209933,Caluma,16429,6,76,-1.633330000000000,-79.25000000000000,11
Bolívar,209933,Chillanes,16850,3,78,-1.933333000000000,-79.06666700000000,11
Bolívar,209933,Chimbo,17378,4,66,-1.700000000000000,-79.01666700000000,11
Bolívar,209933,Echeandía,14081,4,60,-1.433330000000000,-79.26667000000000,11
Bolívar,209933,Guaranda,108763,43,538,-1.605556000000000,-79.00305600000000,11
Bolívar,209933,Las Naves,7428,2,21,-1.283330000000000,-79.30000000000000,11
Bolívar,209933,San Miguel,29004,8,149,-1.700000000000000,-79.03333300000000,11
Carchi,186869,Bolivar,15528,3,56,0.5070990000000000,-77.86245400000000,11
Carchi,186869,Espejo,13817,6,64,0.6210000000000000,-77.94000000000000,11
Carchi,186869,Mira,11969,6,65,0.5538999999999998,-78.04930000000000,11
Carchi,186869,Montúfar,34229,9,126,0.6100000000000000,-77.84000000000000,11
Carchi,186869,San Pedro de Huaca,8931,3,23,0.6311110000000000,-77.72527800000000,11
Carchi,186869,Tulcán,102395,32,530,0.8121800000000000,-77.71633000000000,11
Cañar,281396,Azogues,86276,46,621,-2.733333000000000,-78.83333300000000,11
Cañar,281396,Biblían,23741,7,107,-2.710000000000000,-78.88000000000000,11
Cañar,281396,Cañar,68747,19,254,-2.483700000000000,-78.97839999999999,11
Cañar,281396,Déleg,6782,2,25,-2.772600000000000,-78.91830000000000,11
Cañar,281396,El Tambo,12462,1,38,-2.508100000000000,-78.92489999999999,11
Cañar,281396,La Troncal,76872,19,304,-2.400000000000000,-79.33000000000000,11
Cañar,281396,Suscal,6516,0,18,-2.436400000000000,-79.05220000000000,11
Chimborazo,524004,Alausí,45054,14,200,-2.200000000000000,-78.84999999999999,11
Chimborazo,524004,Chambo,13378,9,55,-1.733333000000000,-78.58333300000000,11
Chimborazo,524004,Chunchi,12795,4,50,-2.283333000000000,-78.91666700000000,11
Chimborazo,524004,Colta,44838,17,284,-1.700000000000000,-78.75000000000000,11
Chimborazo,524004,Cumandá,17973,4,58,-2.200000000000000,-79.13333299999999,11
Chimborazo,524004,Guamote,58291,13,207,-1.933333000000000,-78.71666700000000,11
Chimborazo,524004,Guano,48395,7,185,-1.583333000000000,-78.63333299999999,11
Chimborazo,524004,Pallatanga,12277,7,52,-1.983333000000000,-78.95000000000000,11
Chimborazo,524004,Penipe,6955,1,45,-1.557300000000000,-78.53959999999999,11
Chimborazo,524004,Riobamba,264048,126,1970,-1.674347000000000,-78.64829400000001,11
Cotopaxi,488716,La Maná,56905,9,177,-0.9300000000000000,-79.22000000000000,11
Cotopaxi,488716,Latacunga,205624,121,1327,-0.9333330000000000,-78.61666700000001,11
Cotopaxi,488716,Pangua,24612,6,81,-1.133333000000000,-79.06666700000000,11
Cotopaxi,488716,Pujilí,79772,20,278,-0.9500000000000000,-78.69000000000000,11
Cotopaxi,488716,Salcedo,67100,25,237,-1.050000000000000,-78.58333300000000,11
Cotopaxi,488716,Saquisilí,31426,5,99,-0.8300000000000000,-78.67000000000000,11
Cotopaxi,488716,Sigchos,23277,7,96,-0.7000000000000000,-78.88333299999999,11
El Oro,715751,Arenillas,33473,9,115,-3.550000000000000,-80.06000000000000,11
El Oro,715751,Atahualpa,6436,1,22,-2.900000000000000,-78.93333300000000,11
El Oro,715751,Balsas,9233,2,21,-3.762600000000000,-79.82530000000000,11
El Oro,715751,Chilla,2379,0,10,-3.450000000000000,-79.58000000000000,11
El Oro,715751,El Guabo,63645,12,298,-3.238800000000000,-79.82920000000000,11
El Oro,715751,Huaquillas,60440,19,276,-3.481380000000000,-80.24320700000000,11
El Oro,715751,Las Lajas,4963,1,19,-3.785000000000000,-80.06166700000000,11
El Oro,715751,Machala,289141,162,2599,-3.266667000000000,-79.96666700000000,11
El Oro,715751,Marcabelí,6259,3,22,-3.786000000000001,-79.89780000000000,11
El Oro,715751,Pasaje,87723,31,482,-3.326900000000000,-79.80490000000000,11
El Oro,715751,Piñas,30206,10,187,-3.666667000000000,-79.65000000000001,11
El Oro,715751,Portovelo,14028,3,64,-3.720000000000000,-79.62000000000000,11
El Oro,715751,Santa Rosa,82171,23,363,-3.452222000000000,-79.96166700000001,11
El Oro,715751,Zaruma,25654,8,114,-3.433333000000000,-79.59999999999999,11
Esmeraldas,591083,Atacames,55495,5,101,0.8666670000000000,-79.83333300000000,11
Esmeraldas,591083,Eloy Alfaro,45629,4,64,1.250000000000000,-79,11
Esmeraldas,591083,Esmeraldas,218727,49,1287,1.050000000000000,-79.20000000000000,11
Esmeraldas,591083,Muisne,31106,1,53,0.6067000000000000,-80.01830000000000,11
Esmeraldas,591083,Quinindé,145879,28,317,0.3300000000000000,-79.48000000000000,11
Esmeraldas,591083,Rioverde,31475,4,56,1.060200000000000,-79.40440000000000,11
Esmeraldas,591083,San Lorenzo,62772,6,111,1.265800000000000,-78.84139999999999,11
Galápagos,33042,Isabela,3073,0,4,-0.4724000000000000,-90.68110000000000,11
Galápagos,33042,San Cristóbal,9667,2,22,-0.7999999999999999,-89.40000000000001,11
Galápagos,33042,Santa Cruz,20302,3,18,-0.6333330000000000,-90.36666700000001,11
Guayas,4387434,Alfredo Baquerizo Moreno,32110,4,109,-1.916667000000000,-79.51666700000000,11
Guayas,4387434,Balao,26348,6,101,-2.910000000000000,-79.81000000000000,11
Guayas,4387434,Balzar,60260,18,323,-1.360000000000000,-79.90000000000001,11
Guayas,4387434,Colimes,26169,4,110,-1.550000000000000,-80.01666700000000,11
Guayas,4387434,Coronel Marcelino Maridueña,13132,4,49,-2.200000000000000,-79.42000000000000,11
Guayas,4387434,Daule,173684,48,1061,-1.866667000000000,-79.98333300000000,11
Guayas,4387434,Durán,315724,58,1242,-2.166667000000000,-79.83333300000000,11
Guayas,4387434,El Triunfo,59636,12,236,-2.330000000000000,-79.40000000000001,11
Guayas,4387434,Empalme,86073,30,352,-1.046111000000000,-79.63361100000000,11
Guayas,4387434,General Antonio Elizalde,13156,3,55,-2.200000000000000,-79.17000000000000,11
Guayas,4387434,Guayaquil,2723665,1549,27603,-2.183333000000000,-79.88333299999999,11
Guayas,4387434,Isidro Ayora,14582,2,85,-1.883333000000000,-80.16666700000000,11
Guayas,4387434,Lomas de Sargentillo,24220,11,177,-1.883333000000000,-80.08333300000000,11
Guayas,4387434,Milagro,199835,96,1636,-2.126944000000000,-79.59916699999999,11
Guayas,4387434,Naranjal,95052,13,299,-2.672800000000000,-79.61499999999999,11
Guayas,4387434,Naranjito,43862,21,243,-2.173000000000000,-79.46710000000000,11
Guayas,4387434,Nobol,26444,6,133,-1.916671000000000,-80.01153900000000,11
Guayas,4387434,Palestina,18451,6,73,-1.626300000000000,-79.97700000000000,11
Guayas,4387434,Pedro Carbo,51802,21,387,-1.833333000000000,-80.23333300000000,11
Guayas,4387434,Playas,59628,15,339,-2.623330000000000,-80.38750000000000,11
Guayas,4387434,Salitre,65765,18,335,-1.829444000000000,-79.81555600000000,11
Guayas,4387434,Samborondón,102404,20,403,-2.183333000000000,-79.88333299999999,11
Guayas,4387434,San Jacinto De Yaguachi,78204,14,270,-2.120000000000000,-79.69000000000000,11
Guayas,4387434,Santa Lucía,45004,19,383,-1.713889000000000,-79.98500000000000,11
Guayas,4387434,Simón Bolivar,32224,8,99,-2.156667000000000,-79.88750000000000,11
Imbabura,476257,Antonio Ante,54311,17,165,0.3200000000000000,-78.20999999999999,11
Imbabura,476257,Cotacachi,44203,9,165,0.3000000000000000,-78.26666700000000,11
Imbabura,476257,Ibarra,221149,101,1436,0.3626780000000000,-78.13066700000000,11
Imbabura,476257,Otavalo,125785,29,538,0.2333330000000000,-78.26666700000000,11
Imbabura,476257,Pimampiro,13269,9,69,0.4000000000000000,-77.97000000000000,11
Imbabura,476257,San Miguel de Urcuquí,17540,7,52,0.5200000000000000,-78.20000000000000,11
Loja,521154,Calvas,29565,11,172,-4.320000000000000,-79.56000000000000,11
Loja,521154,Catamayo,35961,9,136,-3.980000000000000,-79.34999999999999,11
Loja,521154,Celica,16160,2,41,-4.102500000000000,-79.95444400000000,11
Loja,521154,Chaguarpamba,6620,1,42,-3.850000000000000,-79.65000000000001,11
Loja,521154,Espíndola,14209,4,57,-4.583056000000000,-79.42694400000001,11
Loja,521154,Gonzanamá,10953,10,66,-4.231389000000000,-79.43527800000000,11
Loja,521154,Loja,274112,94,1534,-3.983333000000001,-79.20000000000000,11
Loja,521154,Macará,20269,3,86,-4.383333000000000,-79.95000000000000,11
Loja,521154,Olmedo,4220,2,26,-3.934000000000000,-79.64800000000000,11
Loja,521154,Paltas,23471,8,129,-4.050000000000002,-79.65000000000001,11
Loja,521154,Pindal,10540,3,35,-4.116100000000000,-80.10760000000001,11
Loja,521154,Puyango,15925,3,71,-3.870000000000000,-80.09000000000000,11
Loja,521154,Quilanga,4197,1,15,-4.298000000000000,-79.39860000000000,11
Loja,521154,Saraguro,33506,5,130,-3.625300000000000,-79.24110000000000,11
Loja,521154,Sozoranga,7121,0,16,-4.327778000000000,-79.78972200000000,11
Loja,521154,Zapotillo,14325,3,49,-4.386360000000002,-80.24360000000000,11
Los Ríos,921763,Baba,43429,15,167,-1.784167000000000,-79.67666699999999,11
Los Ríos,921763,Babahoyo,175281,89,1295,-1.800000000000000,-79.53333300000000,11
Los Ríos,921763,Buena Fe,83654,24,265,-0.8985719999999999,-79.48891600000000,11
Los Ríos,921763,Mocache,43316,7,128,-1.183850000000000,-79.50552999999999,11
Los Ríos,921763,Montalvo,28720,9,103,-1.793800000000000,-79.28570000000001,11
Los Ríos,921763,Palenque,23638,7,69,-1.432800000000000,-79.74950000000000,11
Los Ríos,921763,Puebloviejo,44725,11,150,-1.550000000000000,-79.53388900000000,11
Los Ríos,921763,Quevedo,213842,89,1463,-1.033333000000000,-79.45000000000000,11
Los Ríos,921763,Quinsaloma,20428,2,58,-1.206200000000000,-79.31450000000000,11
Los Ríos,921763,Urdaneta,32618,11,150,-1.570556000000000,-79.47111099999999,11
Los Ríos,921763,Valencia,54637,9,109,-0.9525000000000000,-79.35310000000000,11
Los Ríos,921763,Ventanas,75146,14,313,-1.450000000000000,-79.47000000000000,11
Los Ríos,921763,Vinces,82329,18,396,-1.558333000000000,-79.75000000000000,11
Manabí,1562079,Bolívar,45493,14,202,-0.8419440000000000,-80.16194400000001,11
Manabí,1562079,Chone,131002,61,711,-0.6833330000000000,-80.09999999999999,11
Manabí,1562079,El Carmen,111344,32,408,-1.314700000000000,-80.01690000000001,11
Manabí,1562079,Flavio Alfaro,23822,10,134,-0.4054000000000000,-79.90580000000000,11
Manabí,1562079,Jama,26116,1,43,-0.2014000000000000,-80.26590000000000,11
Manabí,1562079,Jaramijó,28439,3,100,-0.9487300000000000,-80.63630000000001,11
Manabí,1562079,Jipijapa,74645,32,586,-1.333330000000000,-80.58329999999999,11
Manabí,1562079,Junín,18820,12,80,-0.9291600000000000,-80.20569000000000,11
Manabí,1562079,Manta,264281,158,2373,-0.9500220000000000,-80.71620000000000,11
Manabí,1562079,Montecristi,107785,17,416,-1.033330000000000,-80.65000000000001,11
Manabí,1562079,Olmedo,10194,5,55,-1.396111000000000,-80.20611100000001,11
Manabí,1562079,Paján,37093,12,237,-1.570000000000000,-80.42000000000000,11
Manabí,1562079,Pedernales,63441,12,204,0.07010000000000001,-80.05360000000000,11
Manabí,1562079,Pichincha,29599,6,80,-1.047300000000000,-79.81860000000000,11
Manabí,1562079,Portoviejo,321800,207,2598,-1.056181000000000,-80.45521700000000,11
Manabí,1562079,Puerto López,24688,11,141,-1.566667000000000,-80.81666700000000,11
Manabí,1562079,Rocafuerte,37312,21,199,-0.9200000000000000,-80.45999999999999,11
Manabí,1562079,San Vicente,24799,1,73,-0.5892999999999999,-80.40880000000000,11
Manabí,1562079,Santa Ana,48152,8,148,-1.206900000000000,-80.37090000000001,11
Manabí,1562079,Sucre,62443,30,359,-0.6000000000000000,-80.41666700000000,11
Manabí,1562079,Tosagua,42297,16,173,-0.7800000000000000,-80.26000000000001,11
Manabí,1562079,Veinticuatro de Mayo,28514,9,126,-1.278889000000000,-80.42000000000000,11
Morona Santiago,196535,Gualaquiza,19555,4,63,-3.380000000000000,-78.58000000000000,11
Morona Santiago,196535,Huamboya,12382,2,26,-1.785000000000000,-78.23194400000000,11
Morona Santiago,196535,Limón Indanza,10349,3,25,-2.966250000000000,-78.43052800000000,11
Morona Santiago,196535,Logroño,7643,2,19,-2.624800000000000,-78.18960000000000,11
Morona Santiago,196535,Morona,58281,12,230,-2.300000000000000,-78.11666700000001,11
Morona Santiago,196535,Pablo Sexto,2897,2,6,-1.803056000000000,-77.92111100000000,11
Morona Santiago,196535,Palora,7719,1,19,-1.700000000000000,-77.94000000000000,11
Morona Santiago,196535,San Juan Bosco,4985,0,1,-3.092300000000000,-78.51320000000000,11
Morona Santiago,196535,Santiago,11087,1,35,-3.429800000000000,-78.56560000000000,11
Morona Santiago,196535,Sucúa,23823,7,94,-2.460000000000000,-78.17000000000000,11
Morona Santiago,196535,Taisha,26773,1,46,-2.339950000000000,-77.45808000000000,11
Morona Santiago,196535,Tiwintza,11041,1,11,-2.917670000000000,-77.80170000000000,11
Napo,133705,Archidona,33068,9,114,-0.9166670000000000,-77.78333300000000,11
Napo,133705,Carlos Julio Arosemena Tola,4466,0,10,-1.166667000000000,-77.84999999999999,11
Napo,133705,El Chaco,10142,1,14,-0.3402780000000000,-77.80888899999999,11
Napo,133705,Quijos,6847,1,30,-0.4636110000000000,-77.89277800000001,11
Napo,133705,Tena,79182,20,325,-0.9890000000000000,-77.81590000000000,11
Orellana,161338,Aguarico,3629,1,11,-0.9211110000000000,-75.39916700000001,11
Orellana,161338,La Joya de los Sachas,39352,6,115,-0.3000000000000000,-76.84999999999999,11
Orellana,161338,Loreto,24579,12,91,-0.6904000000000000,-77.30830000000000,11
Orellana,161338,Orellana,93778,24,300,-0.4666670000000000,-76.96666700000000,11
Pastaza,114202,Arajuno,8128,0,12,-1.234370000000000,-77.68750000000000,11
Pastaza,114202,Mera,17547,3,30,-1.460000000000000,-78.09000000000000,11
Pastaza,114202,Pastaza,84377,16,322,-1.066667000000000,-78.00111099999999,11
Pastaza,114202,Santa Clara,4150,0,10,-1.267100000000000,-77.88820000000000,11
Pichincha,3228233,Cayambe,107660,26,346,0.04388900000000000,-78.15610000000000,11
Pichincha,3228233,Mejía,108167,24,387,-0.5101000000000000,-78.56980000000000,11
Pichincha,3228233,Pedro Moncayo,43281,11,87,0.04369700000000000,-78.34923999999999,11
Pichincha,3228233,Pedro Vicente Maldonado,17171,7,38,0.1666670000000000,-79,11
Pichincha,3228233,Puerto Quito,24911,3,68,0.1170000000000000,-79.26400000000000,11
Pichincha,3228233,Quito,2781641,1178,16545,-0.2186110000000000,-78.50972200000000,11
Pichincha,3228233,Rumiñahui,115433,21,491,-0.3345000000000000,-78.44750000000001,11
Pichincha,3228233,San Miguel de Los Bancos,29969,3,29,0.02300000000000000,-78.89200000000000,11
Santa Elena,401178,La Libertad,117767,31,594,-2.233333000000000,-80.90000000000001,11
Santa Elena,401178,Salinas,94590,37,487,-2.216667000000000,-80.95000000000000,11
Santa Elena,401178,Santa Elena,188821,99,1691,-2.226700000000000,-80.85830000000000,11
Sto. Domingo Tsáchilas,511151,La Concordia,52571,9,155,0.002300000000000000,-79.38460000000001,11
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,150,2730,-0.2541670000000000,-79.17194400000000,11
Sucumbíos,230503,Cascales,15882,0,26,-0.06750000000000000,-77.21694400000000,11
